Level,Competition,Team Home,Team Away,Score Home,Score Away,Event Date,Result
REPUBLIC OF THE CONGO,Ligue 1,Diables Noirs,JS Talangai,3,0,29.05. 15:00,W
AFRICA,CAF Confederation Cup - Qualification,Orlando Pirates (Rsa),Diables Noirs (Con),1,0,24.10.2021,L
REPUBLIC OF THE CONGO,Ligue 1,Diables Noirs,Patronage Sainte-Anne,1,1,05.07.2021,D
REPUBLIC OF THE CONGO,Ligue 1,Patronage Sainte-Anne,Diables Noirs,0,2,15.03.2020,W
REPUBLIC OF THE CONGO,Ligue 1,Tongo FC Jambon,Diables Noirs,2,1,26.05.2019,L
AFRICA,CAF Confederation Cup - Qualification,Diables Noirs (Con),Hussein Dey (Alg),1,1,04.12.2018,D
REPUBLIC OF THE CONGO,Ligue 1,Otoho d'Oyo,Diables Noirs,0,0,21.10.2018,D
REPUBLIC OF THE CONGO,Ligue 1,Tongo FC Jambon,Diables Noirs,1,2,24.09.2017,W
AFRICA,CAF Champions League - Qualification,Diables Noirs (Con),Kadiogo (Bfa),1,0,19.02.2017,W
REPUBLIC OF THE CONGO,Ligue 1,Diables Noirs,Poto-Poto,1,1,05.02.2017,D
REPUBLIC OF THE CONGO,Ligue 1,V. Club Mokanda,Diables Noirs,2,0,22.10.2016,L
AFRICA,CAF Confederation Cup - Qualification,Africa Sports (Ivo),Diables Noirs (Con),2,1,27.02.2016,L
REPUBLIC OF THE CONGO,Ligue 1,CARA Brazzaville,Diables Noirs,1,2,21.02.2016,W
AFRICA,CAF Confederation Cup - Qualification,Diables Noirs (Con),Africa Sports (Ivo),1,2,14.02.2016,L
REPUBLIC OF THE CONGO,Ligue 1,Diables Noirs,Etoile du Congo,0,0,07.02.2016,D
REPUBLIC OF THE CONGO,Ligue 1,Leopard,Diables Noirs,2,1,13.05.2015,L
AFRICA,CAF Champions League - Qualification,Diables Noirs (Con),Raja Casablanca (Mar),2,2,01.03.2015,D
REPUBLIC OF THE CONGO,Ligue 1,La Mancha,Diables Noirs,0,1,22.02.2015,W
AFRICA,CAF Champions League - Qualification,Raja Casablanca (Mar),Diables Noirs (Con),4,0,13.02.2015,L
REPUBLIC OF THE CONGO,Ligue 1,Bilombe,Diables Noirs,0,0,02.02.2015,D
REPUBLIC OF THE CONGO,Ligue 1,Diables Noirs,Cheminots,1,1,10.08.2014,D
AFRICA,CAF Champions League - Qualification,Flambeau de l'Est (Bur),Diables Noirs (Con),1,1,15.02.2014,D
AFRICA,CAF Confederation Cup - Qualification,Diables Noirs (Con),CS Sfaxien (Tun),1,1,05.05.2013,D
AFRICA,CAF Champions League - Qualification,Diables Noirs,Academie de FAD,0,1,06.03.2012,L
AFRICA,CAF Champions League - Qualification,ES Setif,Diables Noirs,2,0,27.02.2010,L
AFRICA,CAF Champions League - Qualification,Diables Noirs,Enyimba,2,3,02.03.2008,L
AFRICA,CAF Confederation Cup - Qualification,Berekum Arsenal,Diables Noirs,1,0,02.04.2006,L
AFRICA,CAF Champions League - Qualification,Diables Noirs,Red Arrows,0,1,13.02.2005Pen,L
AFRICA,CAF Confederation Cup - Qualification,Dep. Mongomo,Diables Noirs,0,0,20.03.2004,D
